Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
BE,2023-06-20T02:00:00.000Z,185,2023-06-20T09:56:01.132Z,2023-06-17T02:54:19.954Z,lifecycle,False,
BE,2023-06-20T03:00:00.000Z,194,2023-06-20T09:56:24.113Z,2023-06-17T03:55:30.499Z,lifecycle,False,
BE,2023-06-20T04:00:00.000Z,190,2023-06-20T09:56:17.527Z,2023-06-17T04:52:52.097Z,lifecycle,False,
BE,2023-06-20T05:00:00.000Z,174,2023-06-20T11:53:09.531Z,2023-06-17T05:58:11.423Z,lifecycle,False,
BE,2023-06-20T06:00:00.000Z,163,2023-06-20T11:53:09.531Z,2023-06-17T06:57:32.268Z,lifecycle,False,
BE,2023-06-20T07:00:00.000Z,152,2023-06-20T13:00:39.941Z,2023-06-17T07:54:49.029Z,lifecycle,False,
BE,2023-06-20T08:00:00.000Z,145,2023-06-20T13:00:39.941Z,2023-06-17T09:03:33.915Z,lifecycle,False,
BE,2023-06-20T09:00:00.000Z,128,2023-06-20T13:00:39.941Z,2023-06-17T09:57:25.570Z,lifecycle,False,
BE,2023-06-20T10:00:00.000Z,127,2023-06-20T12:59:59.535Z,2023-06-17T10:58:22.966Z,lifecycle,True,TIME_SLICER_AVERAGE
BE,2023-06-20T11:00:00.000Z,123,2023-06-20T13:00:35.129Z,2023-06-17T11:57:26.915Z,lifecycle,True,TIME_SLICER_AVERAGE
BE,2023-06-20T12:00:00.000Z,120,2023-06-20T13:00:18.822Z,2023-06-17T12:56:10.913Z,lifecycle,True,TIME_SLICER_AVERAGE
BE,2023-06-20T13:00:00.000Z,124,2023-06-20T13:00:35.129Z,2023-06-17T13:53:17.814Z,lifecycle,True,TIME_SLICER_AVERAGE
BG,2023-06-19T14:00:00.000Z,181,2023-06-19T20:52:05.975Z,2023-06-16T14:57:25.311Z,lifecycle,False,
BG,2023-06-19T15:00:00.000Z,190,2023-06-19T21:53:04.854Z,2023-06-16T15:56:21.711Z,lifecycle,False,
BG,2023-06-19T16:00:00.000Z,201,2023-06-20T06:54:13.398Z,2023-06-16T16:53:54.812Z,lifecycle,False,
BG,2023-06-19T17:00:00.000Z,209,2023-06-20T06:54:32.605Z,2023-06-16T17:55:39.976Z,lifecycle,False,
